px_msmt,py_msmt,px_pred,py_pred,px_error,py_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
19.347,8.30741,19.5525,8.46359,-0.205443,-0.156179,19.5042,8.5289,1.90381,4.49819,0.0836704,0.0941945,0.83394,0.62177
20.0039,8.8906,19.7404,8.78586,0.26349,0.104741,19.6835,8.983,1.67841,4.57848,0.0834758,0.0965471,0.828701,0.626732
20.1574,9.45949,19.9758,9.17366,0.181608,0.285823,19.8398,9.44463,1.44697,4.64869,0.0847055,0.100226,0.824388,0.631997
20.1573,9.90876,20.1375,9.63334,0.0198448,0.275419,19.9728,9.91275,1.21005,4.70826,0.0862828,0.103834,0.81882,0.6356
20.166,10.4687,20.2629,10.1818,-0.0968806,0.286898,20.0818,10.3863,0.968259,4.75666,0.0877953,0.104742,0.814583,0.632362
20.371,11.0109,20.3042,10.7131,0.0668573,0.29776,20.1663,10.864,0.722256,4.7934,0.0885514,0.104598,0.808405,0.628046
20.3164,11.3483,20.3685,11.2926,-0.0521262,0.0557075,20.2261,11.3449,0.472738,4.81807,0.0893382,0.103657,0.803107,0.62224
20.6141,11.9422,20.3398,11.7451,0.274242,0.197077,20.2608,11.8275,0.220439,4.83027,0.0895041,0.102902,0.795896,0.618217
20.3263,12.4966,20.4332,12.2423,-0.10694,0.254358,20.2701,12.3108,-0.0338694,4.82968,0.090279,0.102084,0.791477,0.612724
20.498,12.8924,20.3533,12.7658,0.144734,0.126537,20.254,12.7933,-0.28939,4.81605,0.0905395,0.101116,0.785141,0.607852
20.1943,13.1688,20.3726,13.2138,-0.178339,-0.0449877,20.2122,13.2738,-0.545298,4.78918,0.0914564,0.100391,0.779882,0.603977
20.3245,13.8896,20.2938,13.6511,0.030743,0.23849,20.1449,13.7509,-0.800753,4.74892,0.0922162,0.0998031,0.77541,0.599667
20.1216,14.337,20.2074,14.1391,-0.0858901,0.19796,20.0521,14.2233,-1.0549,4.69521,0.092849,0.0991127,0.770331,0.595277
19.781,14.773,20.0583,14.6415,-0.277323,0.131502,19.934,14.6897,-1.30687,4.62805,0.0926177,0.0983252,0.764649,0.590367
20.0208,15.2053,19.8565,15.1386,0.164312,0.0666827,19.7908,15.1486,-1.55581,4.54751,0.0923743,0.0974717,0.76008,0.58527
19.9131,15.554,19.7088,15.5087,0.204278,0.0453308,19.6229,15.5989,-1.80085,4.45372,0.0926711,0.0972796,0.754302,0.583426
19.4748,16.0098,19.601,15.8699,-0.126171,0.139966,19.4307,16.039,-2.04114,4.3469,0.0935357,0.0979049,0.749705,0.581062
19.238,16.2719,19.369,16.3191,-0.130948,-0.0472446,19.2148,16.4679,-2.27586,4.22731,0.0941847,0.0987901,0.746088,0.577141
19.0029,16.8387,19.1367,16.6833,-0.133804,0.15541,18.9757,16.8841,-2.50418,4.0953,0.0947091,0.100177,0.741975,0.573382
18.6148,17.3832,18.8164,17.0955,-0.201665,0.287602,18.7142,17.2866,-2.72534,3.95127,0.0943266,0.100834,0.736098,0.569957
18.1023,17.5529,18.4772,17.6102,-0.374939,-0.0572648,18.4309,17.674,-2.93858,3.79568,0.0937295,0.100295,0.73065,0.566348
18.2094,18.0461,18.0864,18.0274,0.12297,0.0187069,18.1268,18.0453,-3.14318,3.62906,0.0931102,0.0995946,0.725703,0.563588
17.9018,18.2183,17.7948,18.3347,0.106963,-0.116452,17.8026,18.3994,-3.3385,3.45199,0.0924656,0.0994852,0.720972,0.559303
17.3845,18.7039,17.5628,18.6204,-0.17831,0.0834826,17.4595,18.7353,-3.5239,3.26509,0.0920973,0.0994445,0.717173,0.555389
17.1762,18.8863,17.1607,18.9476,0.0155282,-0.0612702,17.0983,19.0521,-3.69883,3.06904,0.0917244,0.0997014,0.713024,0.551294
16.5734,19.052,16.8332,19.2436,-0.259826,-0.19167,16.7201,19.3488,-3.86278,2.86455,0.0915267,0.100003,0.709168,0.547491
16.2338,19.6171,16.399,19.5147,-0.165181,0.102322,16.3262,19.6246,-4.01531,2.65237,0.0910068,0.0999284,0.70447,0.544338
15.9243,19.8703,15.9158,19.7616,0.00849757,0.108648,15.9176,19.8789,-4.15602,2.43329,0.090366,0.100053,0.699491,0.540883
15.4332,20.1836,15.5071,20.0371,-0.0738625,0.146502,15.4956,20.111,-4.28461,2.2081,0.0897641,0.0996819,0.694796,0.539661
15.2016,20.4385,15.0192,20.3588,0.182468,0.0797375,15.0613,20.3203,-4.4008,1.97763,0.0892205,0.0990425,0.690166,0.540383
14.6665,20.6088,14.6122,20.5489,0.0543,0.0598627,14.6161,20.5063,-4.50443,1.74272,0.0886158,0.0984669,0.685559,0.539954
14.0521,20.5924,14.1471,20.7451,-0.0949751,-0.152686,14.1611,20.6686,-4.59537,1.50421,0.0880562,0.0979879,0.680945,0.538862
13.4686,20.7253,13.6507,20.8751,-0.182001,-0.149765,13.6977,20.807,-4.67357,1.26294,0.0878507,0.0975103,0.676621,0.537335
13.1072,20.8294,13.1039,20.9538,0.00335191,-0.124394,13.2271,20.9211,-4.73904,1.01975,0.0881556,0.0968856,0.672875,0.534373
12.8729,21.0592,12.6256,21.0377,0.247331,0.0214433,12.7506,21.0108,-4.79186,0.775469,0.0881265,0.0962643,0.668806,0.53177
12.2062,21.11,12.189,21.1014,0.0172032,0.00862973,12.2695,21.0761,-4.83219,0.530912,0.0879646,0.0956745,0.664717,0.529415
11.6814,20.8651,11.6947,21.1485,-0.0133048,-0.283409,11.785,21.117,-4.86022,0.286869,0.0877994,0.0951078,0.660761,0.526625
11.363,21.0688,11.2069,21.0851,0.156109,-0.0162322,11.2982,21.1335,-4.87623,0.0441057,0.0875361,0.0947675,0.65681,0.523551
10.8903,20.927,10.7397,21.0237,0.150546,-0.0966997,10.8105,21.1259,-4.88053,-0.196643,0.0871392,0.095159,0.652884,0.52035
10.189,21.209,10.2809,20.9833,-0.091944,0.22569,10.3229,21.0943,-4.87349,-0.434674,0.0869822,0.0951708,0.649185,0.518557
9.99634,20.9797,9.70688,21.0091,0.289463,-0.0294079,9.83658,21.0391,-4.85554,-0.669327,0.0869187,0.0948004,0.6458,0.51687
9.53921,20.8762,9.31694,20.9487,0.22227,-0.0725443,9.35258,20.9607,-4.82714,-0.899977,0.0865253,0.0943505,0.642079,0.516533
8.70331,20.8221,8.93527,20.8348,-0.231963,-0.0126764,8.87192,20.8594,-4.78881,-1.12605,0.0861617,0.093861,0.638498,0.515671
8.22277,20.4839,8.3781,20.7243,-0.15533,-0.240461,8.39557,20.7358,-4.74108,-1.34701,0.0857651,0.0934095,0.63545,0.514141
7.88599,20.45,7.83238,20.5528,0.0536099,-0.102838,7.92445,20.5903,-4.68453,-1.56237,0.0855821,0.0930778,0.633047,0.512187
7.18029,20.392,7.37014,20.3692,-0.189845,0.022775,7.45939,20.4237,-4.61975,-1.7717,0.086113,0.0927184,0.632021,0.509967
6.81542,20.1859,6.76991,20.2156,0.0455136,-0.029728,7.00119,20.2364,-4.54738,-1.97462,0.088304,0.092269,0.63264,0.508374
6.38914,20.0137,6.27619,20.0315,0.112953,-0.0178941,6.55059,20.0292,-4.46805,-2.17079,0.0911959,0.0917702,0.633147,0.507347
5.86119,19.8306,5.82735,19.833,0.0338362,-0.00243358,6.10823,19.8027,-4.38241,-2.35993,0.0945981,0.0912929,0.633633,0.506506
5.69089,19.5755,5.31583,19.5766,0.37506,-0.00108118,5.67472,19.5577,-4.29114,-2.5418,0.0982133,0.0907993,0.633992,0.504381
5.17021,19.4397,5.00442,19.2801,0.165794,0.159534,5.25059,19.2948,-4.19488,-2.71622,0.0999879,0.09033,0.632309,0.50214
4.89149,18.982,4.63865,19.0614,0.252841,-0.079383,4.8363,19.015,-4.09432,-2.88305,0.10054,0.0898839,0.6296,0.500805
4.4685,18.834,4.29089,18.7435,0.17761,0.0905033,4.43224,18.7188,-3.99012,-3.0422,0.100579,0.0894463,0.626774,0.498753
4.26269,18.481,3.95984,18.4657,0.302849,0.01529,4.03876,18.4071,-3.88293,-3.19362,0.100214,0.0890945,0.623675,0.497405
3.45919,18.167,3.67043,18.1153,-0.211241,0.0516542,3.65611,18.0807,-3.77339,-3.33732,0.0998353,0.0887479,0.621098,0.494913
3.12525,17.7493,3.21088,17.826,-0.0856322,-0.0766232,3.28449,17.7402,-3.66215,-3.47331,0.0996811,0.0886062,0.619272,0.493296
2.9449,17.8154,2.75341,17.4604,0.191493,0.354974,2.92405,17.3866,-3.54982,-3.60167,0.0999709,0.0887412,0.618495,0.491181
2.55407,17.0853,2.44178,17.1116,0.112293,-0.0262829,2.57486,17.0205,-3.437,-3.72251,0.0999531,0.0887291,0.617136,0.488738
2.25371,16.8334,2.11218,16.7615,0.141525,0.0719508,2.23695,16.6427,-3.32428,-3.83595,0.0998386,0.0890451,0.615396,0.487123
1.88972,16.1054,1.7759,16.3921,0.113813,-0.286664,1.91027,16.254,-3.21219,-3.94216,0.099816,0.0892236,0.613791,0.485702
1.44745,16.0853,1.47341,15.9816,-0.0259537,0.1037,1.59474,15.8549,-3.10129,-4.04132,0.100002,0.0896718,0.612527,0.48483
1.18395,15.4284,1.12322,15.5638,0.0607344,-0.135371,1.29021,15.4463,-2.99207,-4.13364,0.100467,0.0898183,0.61162,0.482575
0.722706,15.0075,0.791379,15.1435,-0.0686738,-0.13599,0.996486,15.0288,-2.88503,-4.21933,0.101954,0.0899256,0.611866,0.480465
0.737301,14.7047,0.433247,14.7415,0.304053,-0.0367457,0.71333,14.603,-2.78061,-4.29864,0.103445,0.0903488,0.611478,0.479075
0.253435,14.2029,0.258195,14.2726,-0.00475986,-0.0697758,0.440459,14.1696,-2.67925,-4.37181,0.104302,0.0904065,0.610051,0.476856
0.459172,13.6856,-0.0586226,13.7701,0.517795,-0.0845435,0.177545,13.7292,-2.58135,-4.43909,0.104822,0.0900826,0.608203,0.475235
-0.190344,13.2856,-0.113191,13.2706,-0.0771534,0.0149264,-0.0757753,13.2823,-2.48728,-4.50075,0.104465,0.0896733,0.605538,0.474124
0.0462308,12.9301,-0.412374,12.8201,0.458605,0.109978,-0.319903,12.8295,-2.39739,-4.55704,0.10428,0.089271,0.603144,0.472071
-0.476482,12.3633,-0.487893,12.3869,0.0114112,-0.023589,-0.555273,12.3714,-2.31202,-4.60823,0.104011,0.0888769,0.600464,0.47
-0.582624,12.0386,-0.740807,11.9438,0.158183,0.0947615,-0.78235,11.9083,-2.23144,-4.65456,0.103819,0.0885739,0.597819,0.468104
-1.17212,11.3988,-0.940214,11.497,-0.231902,-0.0982772,-1.00163,11.4409,-2.15594,-4.69628,0.10347,0.0882773,0.595681,0.466134
-1.39289,11.0424,-1.26082,11.0226,-0.132071,0.0198376,-1.21362,10.9695,-2.08575,-4.73364,0.103227,0.0880058,0.594555,0.464505
-1.49687,10.4198,-1.53719,10.5283,0.040319,-0.108515,-1.41889,10.4945,-2.02111,-4.76686,0.10321,0.0876634,0.593433,0.462524
-1.61875,10.2374,-1.75836,9.9888,0.139611,0.248564,-1.61797,10.0165,-1.96221,-4.79615,0.103196,0.0873016,0.591825,0.460878
-1.73381,9.71347,-1.89842,9.562,0.164603,0.151473,-1.81147,9.53564,-1.90924,-4.82172,0.102878,0.087034,0.589575,0.458932
-1.93833,8.77028,-2.06618,9.08335,0.127855,-0.313065,-1.99998,9.05243,-1.86233,-4.84374,0.102536,0.0867076,0.587245,0.457277
-2.1768,8.5411,-2.21201,8.5696,0.0352077,-0.0285018,-2.18412,8.56717,-1.82164,-4.86238,0.102123,0.0863445,0.584853,0.455377
-2.21875,8.15339,-2.44589,8.05124,0.227137,0.102151,-2.3645,8.0802,-1.78726,-4.87778,0.101796,0.0859981,0.582617,0.45356
-2.59674,7.60288,-2.49592,7.63401,-0.100827,-0.0311336,-2.54177,7.59184,-1.75931,-4.89006,0.101414,0.0857034,0.580247,0.451705
