rho_msmt,phi_msmt,rho_dot_msmt,rho_pred,phi_pred,rho_dot_pred,rho_error,phi_error,rho_dot_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
17.9537,0.261769,4.23232,17.9836,0.292835,4.35662,-0.0299082,-0.0310656,-0.124303,17.1579,5.09409,3.51797,3.50008,0.0896307,0.101292,0.917933,0.627021
18.2733,0.262734,4.05972,18.3944,0.305511,4.29947,-0.121035,-0.0427772,-0.239743,17.5019,5.45128,3.35907,3.63949,0.0885614,0.100726,0.905127,0.622723
18.9222,0.326645,3.86213,18.8064,0.312988,4.21275,0.115732,0.0136575,-0.350616,17.8297,5.82221,3.19151,3.77458,0.0877415,0.0994138,0.893057,0.624826
19.3547,0.35846,4.07937,19.2245,0.327492,4.11785,0.130264,0.0309672,-0.0384783,18.1402,6.20641,3.01542,3.90462,0.0870567,0.0981037,0.881706,0.624629
19.6966,0.364545,3.87628,19.6337,0.346462,4.13189,0.062915,0.0180834,-0.255608,18.4328,6.60333,2.83093,4.0289,0.0860043,0.0976133,0.870685,0.620065
20.1556,0.367622,4.11203,20.009,0.357263,4.01097,0.146572,0.0103592,0.101062,18.7064,7.01237,2.63825,4.14672,0.0851354,0.0964025,0.861191,0.619373
19.9701,0.379671,3.50583,20.4678,0.366787,4.15517,-0.497767,0.0128835,-0.649341,18.9604,7.43283,2.43767,4.25737,0.0856377,0.0961646,0.853859,0.624663
20.7779,0.37828,3.78648,20.7896,0.386336,3.84294,-0.0117334,-0.00805538,-0.0564609,19.1939,7.86397,2.22949,4.36017,0.0850368,0.0950981,0.845115,0.623511
20.7048,0.405728,3.77514,21.1361,0.402193,3.79768,-0.431231,0.00353427,-0.022534,19.4062,8.30497,2.01409,4.45445,0.084125,0.0940734,0.837173,0.621147
21.3856,0.401578,3.38244,21.4509,0.413334,3.71977,-0.0652552,-0.0117562,-0.337332,19.5966,8.75494,1.7919,4.53956,0.0832621,0.0951182,0.830573,0.624171
21.7806,0.450652,3.22397,21.8357,0.424233,3.66211,-0.0550806,0.0264193,-0.438138,19.7645,9.21294,1.56341,4.61488,0.0837558,0.0988733,0.826096,0.630705
21.9129,0.461931,2.96707,22.2052,0.439844,3.56448,-0.292352,0.0220871,-0.597414,19.9093,9.67795,1.32916,4.67984,0.0854563,0.102632,0.821444,0.63527
22.3983,0.541745,3.37282,22.5119,0.456903,3.33984,-0.113583,0.0848425,0.0329794,20.0303,10.1489,1.08972,4.73389,0.0871789,0.10485,0.816741,0.634943
22.4479,0.502078,2.77693,22.855,0.478074,3.4203,-0.407175,0.0240035,-0.643376,20.1271,10.6247,0.845742,4.77652,0.088124,0.105,0.811322,0.630847
23.0204,0.565755,3.01803,23.1489,0.497059,3.2009,-0.128505,0.0686967,-0.182864,20.1993,11.1041,0.597892,4.80727,0.088893,0.104147,0.805488,0.625203
22.776,0.567455,2.08835,23.4439,0.515157,3.1592,-0.667932,0.0522982,-1.07085,20.2466,11.5861,0.346889,4.82575,0.0891586,0.103324,0.799197,0.620439
23.2786,0.540021,3.0094,23.6786,0.531903,2.75572,-0.400058,0.00811734,0.25368,20.2687,12.0692,0.093487,4.83159,0.0900377,0.102543,0.793727,0.61572
23.5919,0.557529,1.9646,23.9727,0.552473,2.93903,-0.380824,0.00505553,-0.974431,20.2652,12.5522,-0.161529,4.82451,0.0902255,0.1016,0.78799,0.610399
24.2413,0.530035,2.16265,24.1833,0.568642,2.55982,0.0579919,-0.0386075,-0.397169,20.2363,13.0339,-0.417348,4.80428,0.091096,0.100721,0.782364,0.606004
24.0255,0.59787,2.13842,24.3728,0.584172,2.37829,-0.34728,0.0136977,-0.239863,20.1818,13.5129,-0.673135,4.77072,0.0917999,0.100234,0.777475,0.60223
24.4284,0.587035,1.74881,24.6006,0.603168,2.35694,-0.172195,-0.0161331,-0.608126,20.1017,13.9878,-0.928043,4.72374,0.0926537,0.099557,0.772844,0.597851
24.3813,0.632018,1.7308,24.7758,0.622251,2.13632,-0.394535,0.00976725,-0.405522,19.9962,14.4573,-1.18121,4.66331,0.0929483,0.0987339,0.767622,0.592995
24.5168,0.60859,1.71283,24.9072,0.643646,1.95812,-0.390422,-0.0350565,-0.245287,19.8655,14.9202,-1.43177,4.58944,0.0923137,0.0978952,0.761881,0.587817
25.2206,0.654048,0.480334,25.0926,0.659037,1.93487,0.127985,-0.00498963,-1.45454,19.7099,15.3749,-1.67887,4.50226,0.0922528,0.0972549,0.756875,0.584371
25.0031,0.647734,1.13996,25.1762,0.673264,1.35036,-0.17314,-0.0255297,-0.210396,19.5298,15.8203,-1.92164,4.40193,0.0932661,0.0977818,0.752017,0.582847
24.9602,0.695945,1.21175,25.2829,0.691859,1.30788,-0.322716,0.00408613,-0.0961239,19.3257,16.2549,-2.15925,4.28868,0.0938799,0.0982835,0.747738,0.579222
25.3368,0.698647,0.722698,25.3691,0.709211,1.2763,-0.032379,-0.0105633,-0.553601,19.0981,16.6777,-2.39087,4.16284,0.0946037,0.0998018,0.744098,0.575629
25.8559,0.754598,-0.0612346,25.4415,0.728859,1.08504,0.414483,0.0257387,-1.14628,18.8477,17.0872,-2.61571,4.02476,0.0946988,0.100968,0.739059,0.57223
25.3807,0.735616,1.06382,25.4621,0.75231,0.660979,-0.0814081,-0.0166933,0.402839,18.5752,17.4822,-2.83299,3.87489,0.0939943,0.100644,0.733473,0.567844
25.2941,0.763391,0.672333,25.5171,0.774468,0.864174,-0.223014,-0.0110772,-0.191841,18.2814,17.8617,-3.042,3.71372,0.0934705,0.0999534,0.727925,0.564836
25.3208,0.762942,-0.0928738,25.5951,0.792012,0.875487,-0.274303,-0.0290701,-0.968361,17.9671,18.2246,-3.24204,3.5418,0.0927643,0.0994007,0.723023,0.561442
26.1624,0.765956,0.152289,25.5711,0.806774,0.461957,0.591288,-0.0408186,-0.309668,17.6334,18.5697,-3.43247,3.35973,0.092375,0.0996311,0.719206,0.557181
25.368,0.793358,-0.253429,25.6059,0.82672,0.415133,-0.237927,-0.033362,-0.668562,17.281,18.8962,-3.61271,3.16817,0.0918418,0.0995089,0.714874,0.553314
26.0053,0.861368,-0.164065,25.5643,0.842932,0.144308,0.440976,0.0184351,-0.308373,16.9113,19.203,-3.78221,2.9678,0.0917266,0.0997981,0.711151,0.549314
25.889,0.896317,-0.530322,25.5158,0.862319,0.0138126,0.373131,0.0339977,-0.544135,16.5251,19.4894,-3.9405,2.75938,0.0913316,0.100143,0.706898,0.545574
24.5786,0.838291,-0.8677,25.4776,0.884549,-0.138712,-0.898958,-0.0462586,-0.728988,16.1237,19.7545,-4.08716,2.54364,0.0906824,0.100118,0.701957,0.542424
25.1552,0.869372,-0.422421,25.3659,0.903331,-0.425849,-0.210712,-0.0339588,0.00342886,15.7082,19.9978,-4.22185,2.32141,0.0900473,0.100003,0.697169,0.539641
25.7265,0.978244,-0.746329,25.3312,0.924342,-0.314791,0.395298,0.0539021,-0.431538,15.2799,20.2185,-4.34427,2.09347,0.0895281,0.0993377,0.692381,0.53966
24.8149,0.934393,-1.0454,25.3081,0.943376,-0.357313,-0.493228,-0.00898317,-0.688082,14.84,20.4162,-4.4542,1.86068,0.088917,0.0987137,0.687816,0.539746
25.1535,0.988122,-1.29602,25.1962,0.96224,-0.602671,-0.0426454,0.0258827,-0.693353,14.3897,20.5904,-4.55149,1.62386,0.0883233,0.0982293,0.683242,0.539203
25.0236,0.985547,-1.50011,25.0346,0.981999,-0.898308,-0.0110193,0.00354777,-0.601797,13.9304,20.7408,-4.63606,1.38386,0.0878306,0.0977377,0.67873,0.537832
24.6656,0.975748,-2.00913,24.8468,1.00287,-1.15563,-0.181215,-0.027123,-0.853494,13.4632,20.8671,-4.70789,1.14153,0.0880047,0.0972032,0.67484,0.53577
24.9733,1.01073,-1.83426,24.6201,1.02072,-1.51915,0.353268,-0.00998727,-0.315117,12.9895,20.969,-4.76702,0.897694,0.0883431,0.0965753,0.670973,0.532977
24.5425,1.08233,-2.03069,24.4819,1.03649,-1.52744,0.0606434,0.0458388,-0.503252,12.5106,21.0465,-4.81358,0.653175,0.0880389,0.0959592,0.666772,0.530375
