rho_msmt,phi_msmt,rho_dot_msmt,rho_pred,phi_pred,rho_dot_pred,rho_error,phi_error,rho_dot_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
9.29152,-2.62635,4.65344,9.11347,-2.63098,4.6206,0.178051,0.00463223,0.0328342,-7.97457,-4.34854,-3.09857,-4.03778,0.0957524,0.084323,0.53258,0.420164
9.79884,-2.61129,4.32196,9.61966,-2.60338,4.75946,0.179177,-0.00791107,-0.437499,-8.2901,-4.74759,-3.2093,-3.93862,0.0954584,0.0850722,0.531784,0.420309
9.80209,-2.63074,4.40487,10.051,-2.58119,4.59215,-0.248914,-0.0495437,-0.187279,-8.61678,-5.13637,-3.32121,-3.83242,0.0953821,0.0858845,0.532201,0.420086
10.6846,-2.57959,4.69636,10.5215,-2.57105,4.58495,0.163067,-0.00853617,0.111409,-8.95469,-5.51417,-3.43377,-3.71901,0.0952753,0.0865911,0.532314,0.419666
10.3939,-2.59306,4.47447,10.9957,-2.55763,4.66751,-0.601808,-0.0354269,-0.193039,-9.30388,-5.88026,-3.54643,-3.59823,0.0954773,0.0871418,0.532896,0.419134
11.7165,-2.56253,4.72734,11.3794,-2.55795,4.49163,0.337096,-0.00458379,0.235708,-9.66432,-6.23389,-3.6586,-3.46994,0.0958463,0.0869198,0.533029,0.417879
12.4184,-2.60434,5.08845,11.8713,-2.54344,4.64556,0.547043,-0.0609003,0.442881,-10.0359,-6.57431,-3.76969,-3.33404,0.09657,0.0869526,0.533028,0.417624
12.2265,-2.56061,5.05486,12.4326,-2.54219,4.93869,-0.206032,-0.0184233,0.116173,-10.4186,-6.90075,-3.87907,-3.19046,0.0969148,0.0870049,0.532048,0.417813
12.8601,-2.58139,5.08645,12.9857,-2.53839,5.08279,-0.125633,-0.0429983,0.0036608,-10.8121,-7.21245,-3.98613,-3.03916,0.0969462,0.0872849,0.530773,0.418586
13.2295,-2.55065,4.90432,13.5423,-2.53948,5.16829,-0.312793,-0.0111703,-0.263968,-11.2161,-7.50862,-4.09021,-2.88015,0.0967567,0.0876786,0.529472,0.419313
13.6423,-2.56294,4.89282,13.9688,-2.53475,4.94567,-0.326584,-0.0281892,-0.0528466,-11.6304,-7.78849,-4.19066,-2.71349,0.097131,0.088195,0.529156,0.4204
14.3095,-2.55814,4.49673,14.396,-2.53693,4.82501,-0.0865842,-0.0212179,-0.328281,-12.0546,-8.05131,-4.28682,-2.53924,0.0981498,0.0883208,0.529651,0.42063
14.807,-2.56912,5.27667,14.8299,-2.54197,4.64349,-0.0229212,-0.027151,0.63318,-12.4881,-8.29633,-4.37802,-2.35756,0.0992345,0.0881923,0.52945,0.420777
15.153,-2.57023,4.46958,15.3261,-2.54762,4.8957,-0.173054,-0.0226001,-0.426126,-12.9304,-8.5228,-4.4636,-2.16863,0.100563,0.0879416,0.529013,0.420754
16.1868,-2.5908,5.01852,15.8211,-2.55626,4.77636,0.36565,-0.0345423,0.242159,-13.381,-8.73002,-4.54289,-1.97267,0.101091,0.0876692,0.527904,0.420484
15.9458,-2.59682,4.2878,16.307,-2.56564,4.86155,-0.361205,-0.0311799,-0.573749,-13.8392,-8.91729,-4.61524,-1.76997,0.101683,0.0875615,0.527024,0.419725
16.9366,-2.59554,5.12891,16.7426,-2.57129,4.60797,0.19406,-0.0242484,0.520949,-14.3043,-9.08395,-4.68001,-1.56086,0.102339,0.0873917,0.526123,0.419763
17.3041,-2.57238,4.58709,17.2814,-2.5763,4.89896,0.022732,0.0039211,-0.311866,-14.7754,-9.22939,-4.73658,-1.34573,0.103041,0.0871338,0.525114,0.421546
18.3825,-2.58614,4.68517,17.752,-2.58976,4.77736,0.630489,0.00362004,-0.0921883,-15.2517,-9.35302,-4.78436,-1.125,0.103167,0.0869757,0.523736,0.421964
18.4821,-2.6107,4.28658,18.3108,-2.59549,4.87411,0.171321,-0.0152157,-0.587523,-15.7324,-9.45431,-4.82275,-0.899159,0.103097,0.0867405,0.522615,0.423809
18.8168,-2.65166,4.3787,18.7833,-2.60349,4.66797,0.0335178,-0.0481685,-0.289272,-16.2164,-9.53277,-4.85124,-0.668734,0.102969,0.0865962,0.521693,0.425844
18.5335,-2.61375,4.25211,19.2072,-2.61765,4.51894,-0.673636,0.00390707,-0.266836,-16.7027,-9.58797,-4.8693,-0.434301,0.10289,0.0863392,0.52083,0.426598
20.1085,-2.57124,4.57915,19.6286,-2.63201,4.41663,0.479849,0.0607641,0.162521,-17.1903,-9.61954,-4.87646,-0.196479,0.102649,0.0861607,0.519495,0.427355
20.4243,-2.6638,4.17748,20.1286,-2.64144,4.56797,0.295688,-0.0223654,-0.39049,-17.6781,-9.62717,-4.87232,0.0440703,0.102353,0.0859102,0.518084,0.428945
20.4843,-2.67648,3.99555,20.5516,-2.6559,4.40397,-0.0673176,-0.0205801,-0.408419,-18.1648,-9.61064,-4.85648,0.286648,0.102057,0.0857188,0.516739,0.429585
20.6091,-2.65784,4.30292,20.9316,-2.66407,4.19169,-0.322448,0.00623581,0.111224,-18.6493,-9.56977,-4.82864,0.530522,0.101853,0.0855133,0.515614,0.432508
20.7641,-2.69174,4.20813,21.3611,-2.67609,4.26957,-0.597049,-0.0156549,-0.0614474,-19.1305,-9.50447,-4.78851,0.774927,0.101635,0.0853606,0.514217,0.436188
21.5791,-2.7216,3.64727,21.719,-2.69445,4.18028,-0.139927,-0.0271461,-0.533013,-19.6069,-9.41472,-4.73591,1.01907,0.101387,0.0852095,0.512828,0.437096
21.7788,-2.78143,3.68183,22.0636,-2.71357,3.93369,-0.284819,-0.0678568,-0.251854,-20.0775,-9.30061,-4.67066,1.26215,0.101099,0.085983,0.511369,0.436412
22.661,-2.69707,3.79466,22.4351,-2.71684,3.83941,0.225938,0.0197653,-0.044743,-20.5409,-9.16227,-4.59271,1.50334,0.101059,0.0859106,0.510159,0.441862
23.1722,-2.76598,3.50623,22.8028,-2.73177,3.82218,0.369421,-0.034212,-0.315954,-20.9959,-8.99994,-4.50202,1.74179,0.100943,0.0857692,0.508774,0.445943
23.5086,-2.76519,3.3332,23.1395,-2.74556,3.66922,0.369058,-0.0196315,-0.336022,-21.4412,-8.81393,-4.39865,1.97666,0.100892,0.0857694,0.50742,0.450129
23.1693,-2.81593,2.77502,23.4809,-2.7564,3.53884,-0.311623,-0.0595324,-0.763815,-21.8754,-8.60465,-4.2827,2.20712,0.101117,0.0864242,0.506465,0.455565
23.4906,-2.80745,3.30506,23.7435,-2.77152,3.18751,-0.252909,-0.0359364,0.117557,-22.2975,-8.37258,-4.15437,2.43232,0.101484,0.0872284,0.505311,0.460197
23.9093,-2.77466,2.90501,24.0961,-2.78802,3.32461,-0.186817,0.0133608,-0.419599,-22.7061,-8.11829,-4.01391,2.65145,0.101595,0.0882641,0.503941,0.464437
24.7121,-2.79819,2.37553,24.3814,-2.81125,3.17926,0.330733,0.0130541,-0.803739,-23.1,-7.84243,-3.86163,2.8637,0.101417,0.0881217,0.50269,0.464523
24.5005,-2.85095,2.95743,24.6649,-2.83026,2.92156,-0.164398,-0.0206901,0.0358738,-23.4781,-7.54572,-3.69792,3.06828,0.10114,0.0878817,0.501533,0.463959
24.9317,-2.87494,2.63668,24.9311,-2.8459,2.94592,0.000589948,-0.0290345,-0.309244,-23.8393,-7.22897,-3.52321,3.26445,0.100866,0.0876498,0.500561,0.46402
25.0718,-2.90236,2.27024,25.1889,-2.85821,2.83188,-0.117197,-0.0441502,-0.561643,-24.1825,-6.89307,-3.33801,3.45149,0.100606,0.0878267,0.499447,0.465942
25.808,-2.85952,1.9332,25.3788,-2.88039,2.57147,0.429122,0.0208697,-0.638273,-24.5066,-6.53896,-3.14289,3.62873,0.100337,0.0876015,0.498308,0.465656
25.3337,-2.90212,1.88951,25.5327,-2.89288,2.23883,-0.199033,-0.00924074,-0.349318,-24.8107,-6.16764,-2.93846,3.79553,0.100239,0.0876539,0.496983,0.466796
25.3991,-2.94252,1.81437,25.7534,-2.91219,2.19148,-0.35433,-0.0303336,-0.377107,-25.094,-5.7802,-2.72537,3.95132,0.100013,0.0875064,0.495819,0.466885
26.1059,-2.93168,1.92108,25.9199,-2.92853,2.05224,0.186008,-0.00314388,-0.131162,-25.3556,-5.37777,-2.50435,4.09557,0.0997716,0.0875181,0.494894,0.467473
25.8634,-2.88519,1.92658,26.1331,-2.94772,2.08838,-0.269784,0.0625358,-0.161803,-25.5946,-4.96152,-2.27613,4.22781,0.0995225,0.0874782,0.494782,0.467696
26.1896,-2.97252,1.63348,26.3058,-2.96161,2.03889,-0.116174,-0.0109081,-0.405411,-25.8105,-4.53268,-2.04149,4.34764,0.0993067,0.0879762,0.494991,0.468998
27.2593,-2.978,0.843194,26.4529,-2.98124,1.89013,0.806357,0.00324878,-1.04693,-26.0027,-4.0925,-1.80125,4.45471,0.0992172,0.0881952,0.494951,0.469078
26.8438,-2.9974,0.594495,26.5526,-3.00266,1.47725,0.291166,0.00525333,-0.88276,-26.1706,-3.64227,-1.55623,4.54875,0.0991966,0.0880007,0.494167,0.468057
26.4694,-3.0276,0.430728,26.5609,-3.02225,1.04333,-0.0915075,-0.00535261,-0.612606,-26.3138,-3.18332,-1.30729,4.62954,0.0989745,0.0877894,0.492962,0.466867
26.6919,-3.01199,0.454246,26.5608,-3.04024,0.757265,0.131126,0.028253,-0.303018,-26.4319,-2.71697,-1.05529,4.69696,0.098728,0.0875836,0.491705,0.465727
26.7127,-3.07702,0.496758,26.6554,-3.05291,0.750676,0.0572723,-0.024105,-0.253918,-26.5247,-2.24456,-0.80109,4.75091,0.0984807,0.0876521,0.490682,0.465502
26.358,-3.09139,0.423345,26.7245,-3.0692,0.725245,-0.366508,-0.0221945,-0.3019,-26.5921,-1.76744,-0.545553,4.79141,0.0982647,0.0880648,0.490058,0.465512
26.5906,-3.05894,-0.249844,26.7153,-3.08866,0.578535,-0.124748,0.0297236,-0.828379,-26.6338,-1.28695,-0.289538,4.81852,0.0980227,0.0883227,0.489268,0.464932
27.2525,-3.08003,-0.161527,26.6759,-3.10572,0.231128,0.576576,0.0256977,-0.392654,-26.65,-0.804425,-0.0338883,4.83238,0.0977779,0.0887721,0.48828,0.464323
26.9891,-3.14289,-0.611633,26.6993,-3.1246,0.173448,0.289752,-0.0182979,-0.785081,-26.6406,-0.321181,0.220572,4.83317,0.0975549,0.0890058,0.487395,0.463331
26.9541,3.13651,-0.730319,26.617,3.13629,-0.152076,0.337074,0.000218563,-0.578243,-26.6059,0.161489,0.473041,4.82116,0.0973128,0.0888044,0.486256,0.462251
26.8268,3.12737,-0.525282,26.5704,3.11463,-0.296498,0.256333,0.0127451,-0.228784,-26.5462,0.642323,0.722748,4.79667,0.0970738,0.0886896,0.485213,0.461659
26.0865,3.0416,-0.379773,26.5692,3.0941,-0.230769,-0.482705,-0.0525027,-0.149004,-26.4616,1.12009,0.968955,4.76007,0.0969042,0.0890409,0.484737,0.461709
26.5132,3.16286,-0.674688,26.4974,3.0753,-0.257026,0.0157775,0.0875599,-0.417662,-26.3526,1.59361,1.21096,4.71181,0.096768,0.0892719,0.484616,0.461216
26.4109,3.07231,-1.06212,26.4276,3.06081,-0.386701,-0.0166969,0.0114994,-0.675423,-26.2197,2.06173,1.44811,4.65235,0.0967267,0.0891513,0.4845,0.46017
26.1685,3.05439,-0.855942,26.3194,3.04585,-0.642873,-0.150905,0.00854202,-0.213069,-26.0633,2.52336,1.67979,4.58223,0.0968153,0.0889382,0.484489,0.45906
26.4965,3.02722,-1.60779,26.2212,3.02704,-0.682965,0.27534,0.000184189,-0.924821,-25.8841,2.97746,1.90543,4.502,0.0970034,0.0887265,0.484304,0.457973
26.4473,2.99994,-1.43601,26.0619,3.00549,-1.03835,0.385426,-0.00555176,-0.397657,-25.6826,3.42306,2.12452,4.41227,0.0971647,0.0888032,0.483543,0.457422
25.7684,3.0197,-1.63152,25.926,2.98868,-1.14566,-0.157527,0.0310237,-0.485854,-25.4596,3.85924,2.3366,4.31367,0.0974046,0.088726,0.482848,0.456583
25.6284,2.99447,-1.70553,25.7985,2.97429,-1.24759,-0.170063,0.020186,-0.45794,-25.2157,4.28514,2.54127,4.20686,0.0981027,0.0885159,0.482446,0.455509
24.6515,2.96589,-1.64191,25.5755,2.95548,-1.4715,-0.924006,0.0104099,-0.170409,-24.9518,4.69998,2.73817,4.09251,0.0984159,0.0883171,0.481789,0.45459
24.8606,2.94075,-1.97394,25.3821,2.93845,-1.50757,-0.521472,0.00230845,-0.466361,-24.6686,5.10304,2.92701,3.97132,0.0987763,0.0881093,0.481278,0.453686
24.9946,2.93014,-2.49278,25.1334,2.91898,-1.72308,-0.13886,0.0111565,-0.769703,-24.367,5.49367,3.10754,3.84401,0.0988656,0.0879351,0.480365,0.453017
25.0204,2.95025,-2.65249,24.8396,2.902,-2.08748,0.180756,0.0482455,-0.565011,-24.0477,5.8713,3.27959,3.71127,0.0987564,0.0877328,0.479268,0.452136
24.4151,2.87445,-1.95451,24.5744,2.88657,-2.29303,-0.159294,-0.01212,0.338518,-23.7117,6.23542,3.44302,3.57383,0.0986474,0.0875609,0.478291,0.451261
24.6376,2.87303,-2.30561,24.3752,2.86982,-2.06333,0.262447,0.00321365,-0.242287,-23.3598,6.58559,3.59775,3.4324,0.0987064,0.0874257,0.477741,0.450446
23.4984,2.89476,-2.54438,24.1154,2.84759,-2.14526,-0.617005,0.0471694,-0.399121,-22.9928,6.92146,3.74376,3.28768,0.0985713,0.0872536,0.476852,0.450515
23.4155,2.84865,-2.96974,23.8035,2.82982,-2.3402,-0.388064,0.0188346,-0.629541,-22.6117,7.24273,3.88106,3.14038,0.0983586,0.0870785,0.475834,0.450427
23.4113,2.79945,-3.47701,23.498,2.81404,-2.57709,-0.0867318,-0.0145889,-0.89992,-22.2173,7.54917,4.00974,2.99118,0.0981462,0.0868807,0.474946,0.449797
23.43,2.74571,-2.70768,23.1807,2.79644,-2.88292,0.249238,-0.050731,0.175239,-21.8105,7.84064,4.12989,2.84074,0.0979254,0.0867027,0.473908,0.449432
23.2089,2.79945,-2.9496,22.9257,2.77768,-2.70159,0.283126,0.0217746,-0.248014,-21.392,8.11703,4.24166,2.68971,0.0977265,0.0865223,0.472861,0.449265
22.551,2.71718,-2.6054,22.5955,2.76672,-2.83108,-0.0444906,-0.0495364,0.225681,-20.9628,8.37833,4.34526,2.53871,0.0975829,0.0865559,0.472118,0.448438
22.036,2.70046,-3.40066,22.379,2.74766,-2.57962,-0.343026,-0.0471946,-0.821032,-20.5237,8.62457,4.4409,2.38835,0.0975953,0.08642,0.471523,0.447938
22.0803,2.72903,-2.81105,21.993,2.72704,-2.96524,0.087281,0.00199039,0.15419,-20.0753,8.85583,4.52884,2.23919,0.0974566,0.0862323,0.470548,0.447929
21.7757,2.72649,-2.79998,21.7334,2.71116,-2.79205,0.0422301,0.0153336,-0.00793254,-19.6186,9.07227,4.60937,2.09179,0.0976078,0.0860507,0.470052,0.447872
21.1919,2.63907,-3.30678,21.4335,2.69622,-2.76945,-0.241553,-0.0571584,-0.537326,-19.1542,9.27409,4.68278,1.94666,0.0979214,0.0859192,0.469583,0.447506
21.2718,2.70567,-3.3833,21.0184,2.67523,-3.0869,0.25342,0.0304397,-0.296401,-18.6827,9.46154,4.7494,1.80429,0.0978888,0.0857574,0.468587,0.447234
20.15,2.6938,-3.97127,20.6702,2.65686,-3.17975,-0.520206,0.0369403,-0.791521,-18.2049,9.63492,4.80959,1.66514,0.0977647,0.0856239,0.467693,0.446756
19.9101,2.61668,-3.29532,20.2202,2.63512,-3.55422,-0.310088,-0.0184389,0.2589,-17.7214,9.79457,4.86368,1.52964,0.0975803,0.0854472,0.467046,0.446873
19.9648,2.60466,-3.6641,19.8663,2.61284,-3.37705,0.0985105,-0.00817699,-0.287055,-17.2328,9.94087,4.91205,1.39818,0.0975128,0.0853666,0.466387,0.447628
19.4316,2.59454,-3.65134,19.5117,2.58992,-3.40523,-0.0800577,0.00461537,-0.246109,-16.7396,10.0743,4.95507,1.27113,0.0976295,0.0855951,0.465925,0.448841
19.2581,2.55982,-3.71646,19.1728,2.56925,-3.39058,0.0852977,-0.00942615,-0.32588,-16.2424,10.1952,4.99311,1.14883,0.0977701,0.0861285,0.46542,0.449941
18.8573,2.55678,-3.53147,18.8063,2.55353,-3.46856,0.0509519,0.00325169,-0.062911,-15.7416,10.3041,5.02655,1.03159,0.0977395,0.086281,0.464545,0.449879
17.9383,2.48774,-4.22288,18.4556,2.54017,-3.4362,-0.517294,-0.052427,-0.786683,-15.2376,10.4016,5.05576,0.919692,0.0976277,0.086117,0.463768,0.449022
17.5963,2.56215,-3.31788,18.0171,2.51815,-3.75324,-0.42072,0.0440001,0.43536,-14.7309,10.4882,5.0811,0.813394,0.0975849,0.0859436,0.462928,0.448199
17.4348,2.49358,-3.80261,17.64,2.50492,-3.55525,-0.205208,-0.0113467,-0.247367,-14.2218,10.5645,5.10293,0.712926,0.0974367,0.0859274,0.461972,0.447249
17.1981,2.46371,-3.3139,17.2844,2.47344,-3.52698,-0.086364,-0.00972774,0.213081,-13.7107,10.631,5.12159,0.618496,0.0976411,0.0858855,0.461151,0.447309
16.8616,2.44537,-3.74352,16.9366,2.45379,-3.37164,-0.0750454,-0.00841987,-0.37188,-13.1979,10.6884,5.13741,0.530288,0.0977553,0.0857587,0.460236,0.446928
16.633,2.39881,-3.4553,16.6092,2.42755,-3.37452,0.0238543,-0.0287326,-0.0807706,-12.6836,10.7373,5.15071,0.448467,0.0979508,0.0860281,0.459411,0.4471
16.1744,2.40076,-3.36125,16.2446,2.40886,-3.36732,-0.0702524,-0.00809888,0.00607194,-12.1681,10.7783,5.16179,0.373177,0.0979423,0.0860124,0.458453,0.44661
15.5125,2.35632,-3.45673,15.9451,2.38302,-3.208,-0.432611,-0.026705,-0.248729,-11.6516,10.8121,5.17092,0.304546,0.0979434,0.0863129,0.457527,0.446434
15.4675,2.39443,-4.4497,15.5995,2.36006,-3.22898,-0.132067,0.034367,-1.22071,-11.1342,10.8394,5.17836,0.242681,0.0978572,0.0863966,0.45677,0.445805
15.1985,2.34779,-3.72809,15.0975,2.33798,-3.81994,0.100967,0.00981582,0.0918504,-10.6161,10.8609,5.18435,0.187679,0.0979758,0.0862234,0.456204,0.44507
14.9701,2.29374,-2.90921,14.759,2.31598,-3.63693,0.211043,-0.0222365,0.727721,-10.0976,10.8772,5.1891,0.139618,0.0979074,0.0860582,0.455311,0.444302
14.5278,2.34866,-3.34851,14.5196,2.28468,-3.09703,0.00821349,0.0639847,-0.251481,-9.57852,10.8891,5.19278,0.0985664,0.0977787,0.0859622,0.454403,0.443546
13.8648,2.29853,-3.20344,14.2052,2.2592,-3.08324,-0.340325,0.0393282,-0.120201,-9.05915,10.8972,5.19557,0.0645787,0.0975994,0.0858527,0.45351,0.442696
13.3705,2.29307,-3.21572,13.8932,2.23035,-3.00913,-0.522703,0.0627221,-0.206593,-8.53953,10.9023,5.19759,0.0376992,0.0974103,0.0857403,0.45262,0.441844
13.646,2.18959,-2.98721,13.5524,2.2185,-3.06285,0.0935633,-0.0289095,0.0756418,-8.01974,10.905,5.19896,0.0179617,0.0976057,0.0857164,0.452619,0.441242
12.8856,2.1693,-2.77937,13.2485,2.17457,-2.89352,-0.362943,-0.00526925,0.114152,-7.49981,10.9061,5.19975,0.00539029,0.0974149,0.0855442,0.45172,0.440368
13.2691,2.16184,-2.40572,12.9386,2.13994,-2.7481,0.330538,0.0219076,0.342385,-6.97983,10.9064,5.2,-7.84874e-15,0.0972256,0.0853761,0.450855,0.439588
